,4.2,22.7,27.8,30.9,6092,0.62,387,10.87,N/A,469.584,N/A,N/A,82.584,82.41337013,
,4.8,22.9,28.2,31.8,5703,0.79,471,13.4,N/A,578.88,N/A,N/A,107.88,81.36401327,
,5,22.9,28.7,32.6,5690,0.84,499,14.22,N/A,614.304,N/A,N/A,115.304,81.23014013,
,5.2,23,29.3,33.8,5605,0.9,532,15.22,N/A,657.504,N/A,N/A,125.504,80.91205529,
,5.4,23.2,29.8,35.4,5506,0.97,558,16.3,N/A,704.16,N/A,N/A,146.16,79.24335378,
5,0,22.9,27.8,41.7,7356,0.1,74,6.23,N/A,269.136,N/A,N/A,195.136,27.49539266,
,0.6,23.1,28.9,49.8,7260,0.11,80,6.36,N/A,274.752,N/A,N/A,194.752,29.11716748,
,1.2,23.1,30.6,56.6,7170,0.14,104,6.93,N/A,299.376,N/A,N/A,195.376,34.73892363,
,1.8,23.1,31.7,61.3,7068,0.18,135,7.87,N/A,339.984,N/A,N/A,204.984,39.70775095,
,2.4,23.4,33.6,66.9,6858,0.25,188,9.16,N/A,395.712,N/A,N/A,207.712,47.50929969,
,3,23.4,34.8,75.4,6657,0.35,241,11.11,N/A,479.952,N/A,N/A,238.952,50.21335467,
,3.6,23.6,36.8,88.6,6374,0.47,313,13.59,N/A,587.088,N/A,N/A,274.088,53.31398359,
,4.2,23.6,38.4,105.8,6028,0.62,391,17.13,N/A,740.016,N/A,N/A,349.016,52.83669542,
